elstat_municipality_code,municipality_name,pop_total_2021,pop_total_2011,pop_men_2021,pop_men_2011,pop_women_2021,pop_women_2011
0401,ΘΑΣΟΥ,13055,13770,6335,6785,6720,6985
2201,ΛΑΡΙΣΑΙΩΝ,164381,162591,79744,79762,84637,82829
2202,ΑΓΙΑΣ,10705,11470,5432,5825,5273,5645
2203,ΕΛΑΣΣΟΝΑΣ,25441,32121,12561,16102,12880,16019
2204,ΚΙΛΕΛΕΡ,18068,20854,9139,10473,8929,10381
2205,ΤΕΜΠΩΝ,11994,13712,6028,6884,5966,6828
2206,ΤΥΡΝΑΒΟΥ,22252,25032,11038,12486,11214,12546
2207,ΦΑΡΣΑΛΩΝ,16310,18545,8101,9277,8209,9268
1301,ΠΟΛΥΓΥΡΟΥ,21350,22048,10511,10866,10839,11182
1302,ΑΡΙΣΤΟΤΕΛΗ,16994,18294,8354,9099,8640,9195
1303,ΚΑΣΣΑΝΔΡΑΣ,16958,16672,8549,8506,8409,8166
1304,ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,34391,36500,16834,18217,17557,18283
1305,ΣΙΘΩΝΙΑΣ,11631,12394,5776,6243,5855,6151
0901,ΚΙΛΚΙΣ,45489,51926,22220,25748,23269,26178
0902,ΠΑΙΟΝΙΑΣ,25159,28493,12526,14403,12633,14090
6101,ΚΑΛΥΜΝΙΩΝ,17797,16179,8689,7975,9108,8204
6102,ΑΓΑΘΟΝΗΣΙΟΥ,203,185,114,103,89,82
6103,ΑΣΤΥΠΑΛΑΙΑΣ,1399,1334,711,676,688,658
6104,ΛΕΙΨΩΝ,778,790,391,399,387,391
6105,ΛΕΡΟΥ,7988,7917,4054,4052,3934,3865
6106,ΠΑΤΜΟΥ,3217,3047,1623,1535,1594,1512
7001,ΤΗΝΟΥ,8611,8636,4202,4286,4409,4350
1901,ΑΡΤΑΙΩΝ,41633,43166,20433,21216,21200,21950
1902,ΓΕΩΡΓΙΟΥ ΚΑΡΑΪΣΚΑΚΗ,5321,5780,2784,2945,2537,2835
1903,ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,5562,6178,2898,3053,2664,3125
1904,ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,11411,12753,5670,6321,5741,6432
6901,ΡΟΔΟΥ,124851,115490,62132,57879,62719,57611
6902,ΜΕΓΙΣΤΗΣ,584,492,396,322,188,170
6903,ΣΥΜΗΣ,2495,2590,1327,1395,1168,1195
6904,ΤΗΛΟΥ,745,780,415,429,330,351
6905,ΧΑΛΚΗΣ,476,478,256,256,220,222
1601,ΚΑΣΤΟΡΙΑΣ,33227,35874,16434,17774,16793,18100
1603,ΝΕΣΤΟΡΙΟΥ,2188,2646,1154,1354,1034,1292
1602,ΑΡΓΟΥΣ ΟΡΕΣΤΙΚΟΥ,10633,11802,5230,5908,5403,5894
0201,ΔΡΑΜΑΣ,55593,58944,26685,28304,28908,30640
0202,ΔΟΞΑΤΟΥ,12109,14516,5812,6985,6297,7531
0203,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,5323,7860,2658,3963,2665,3897
0204,ΠΑΡΑΝΕΣΤΙΟΥ,2852,3901,1550,1971,1302,1930
0205,ΠΡΟΣΟΤΣΑΝΗΣ,10744,13066,5212,6319,5532,6747
4701,ΠΕΡΙΣΤΕΡΙΟΥ,132123,139981,63853,68563,68270,71418
4702,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,26759,26550,12682,12650,14077,13900
4703,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,61427,62529,29908,30925,31519,31604
4704,ΑΙΓΑΛΕΩ,64828,69946,31139,34008,33689,35938
4705,ΙΛΙΟΥ,83523,84793,40267,41594,43256,43199
4706,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166,58979,28916,28582,31250,30397
4707,ΧΑΪΔΑΡΙΟΥ,46983,46897,22866,23245,24117,23652
4301,ΣΠΑΡΤΗΣ,32918,35259,16167,17740,16751,17519
4302,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,12805,13005,6609,6751,6196,6254
4303,ΕΛΑΦΟΝΗΣΟΥ,913,1041,455,537,458,504
4304,ΕΥΡΩΤΑ,16018,17891,8477,9516,7541,8375
4305,ΜΟΝΕΜΒΑΣΙΑΣ,21815,21942,11974,11091,9841,10851
0701,ΘΕΣΣΑΛΟΝΙΚΗΣ,317778,325182,145087,148470,172691,176712
